Total Nacional;Comunidades y Ciudades Autónomas;Actividad principal (CNAE 2009);Estrato de asalariados;Total
Total Nacional;14 Murcia, Región de;88  Actividades de servicios sociales sin alojamiento;1 a 4;1
Total Nacional;14 Murcia, Región de;88  Actividades de servicios sociales sin alojamiento;5 a 9;0
Total Nacional;14 Murcia, Región de;88  Actividades de servicios sociales sin alojamiento;10 y más;0
Total Nacional;14 Murcia, Región de;90  Actividades de creación, artísticas y espectáculos;Total;88
Total Nacional;14 Murcia, Región de;90  Actividades de creación, artísticas y espectáculos;Cero;86
Total Nacional;14 Murcia, Región de;90  Actividades de creación, artísticas y espectáculos;1 a 4;1
Total Nacional;14 Murcia, Región de;90  Actividades de creación, artísticas y espectáculos;5 a 9;1
Total Nacional;14 Murcia, Región de;90  Actividades de creación, artísticas y espectáculos;10 y más;0
Total Nacional;14 Murcia, Región de;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Total;5
Total Nacional;14 Murcia, Región de;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Cero;4
Total Nacional;14 Murcia, Región de;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;1 a 4;0
Total Nacional;14 Murcia, Región de;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;5 a 9;1
Total Nacional;14 Murcia, Región de;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;10 y más;0
Total Nacional;14 Murcia, Región de;92  Actividades de juegos de azar y apuestas;Total;7
Total Nacional;14 Murcia, Región de;92  Actividades de juegos de azar y apuestas;Cero;6
Total Nacional;14 Murcia, Región de;92  Actividades de juegos de azar y apuestas;1 a 4;1
Total Nacional;14 Murcia, Región de;92  Actividades de juegos de azar y apuestas;5 a 9;0
Total Nacional;14 Murcia, Región de;92  Actividades de juegos de azar y apuestas;10 y más;0
Total Nacional;14 Murcia, Región de;93  Actividades deportivas, recreativas y de entretenimiento;Total;133
Total Nacional;14 Murcia, Región de;93  Actividades deportivas, recreativas y de entretenimiento;Cero;97
Total Nacional;14 Murcia, Región de;93  Actividades deportivas, recreativas y de entretenimiento;1 a 4;27
Total Nacional;14 Murcia, Región de;93  Actividades deportivas, recreativas y de entretenimiento;5 a 9;6
Total Nacional;14 Murcia, Región de;93  Actividades deportivas, recreativas y de entretenimiento;10 y más;3
Total Nacional;14 Murcia, Región de;94  Actividades asociativas;Total;49
Total Nacional;14 Murcia, Región de;94  Actividades asociativas;Cero;31
Total Nacional;14 Murcia, Región de;94  Actividades asociativas;1 a 4;18
Total Nacional;14 Murcia, Región de;94  Actividades asociativas;5 a 9;0
Total Nacional;14 Murcia, Región de;94  Actividades asociativas;10 y más;0
Total Nacional;14 Murcia, Región de;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Total;87
Total Nacional;14 Murcia, Región de;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Cero;82
Total Nacional;14 Murcia, Región de;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;1 a 4;5
Total Nacional;14 Murcia, Región de;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;5 a 9;0
Total Nacional;14 Murcia, Región de;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;10 y más;0
Total Nacional;14 Murcia, Región de;96  Otros servicios personales;Total;499
Total Nacional;14 Murcia, Región de;96  Otros servicios personales;Cero;443
Total Nacional;14 Murcia, Región de;96  Otros servicios personales;1 a 4;56
Total Nacional;14 Murcia, Región de;96  Otros servicios personales;5 a 9;0
Total Nacional;14 Murcia, Región de;96  Otros servicios personales;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;Todas las actividades;Total;3.207
Total Nacional;15 Navarra, Comunidad Foral de;Todas las actividades;Cero;2.596
Total Nacional;15 Navarra, Comunidad Foral de;Todas las actividades;1 a 4;535
Total Nacional;15 Navarra, Comunidad Foral de;Todas las actividades;5 a 9;52
Total Nacional;15 Navarra, Comunidad Foral de;Todas las actividades;10 y más;24
Total Nacional;15 Navarra, Comunidad Foral de;05  Extracción de antracita, hulla y lignito;Total;0
Total Nacional;15 Navarra, Comunidad Foral de;05  Extracción de antracita, hulla y lignito;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;05  Extracción de antracita, hulla y lignito;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;05  Extracción de antracita, hulla y lignito;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;05  Extracción de antracita, hulla y lignito;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;06  Extracción de crudo de petróleo y gas natural;Total;0
Total Nacional;15 Navarra, Comunidad Foral de;06  Extracción de crudo de petróleo y gas natural;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;06  Extracción de crudo de petróleo y gas natural;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;06  Extracción de crudo de petróleo y gas natural;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;06  Extracción de crudo de petróleo y gas natural;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;07  Extracción de minerales metálicos;Total;0
Total Nacional;15 Navarra, Comunidad Foral de;07  Extracción de minerales metálicos;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;07  Extracción de minerales metálicos;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;07  Extracción de minerales metálicos;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;07  Extracción de minerales metálicos;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;08  Otras industrias extractivas;Total;0
Total Nacional;15 Navarra, Comunidad Foral de;08  Otras industrias extractivas;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;08  Otras industrias extractivas;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;08  Otras industrias extractivas;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;08  Otras industrias extractivas;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;09  Actividades de apoyo a las industrias extractivas;Total;0
Total Nacional;15 Navarra, Comunidad Foral de;09  Actividades de apoyo a las industrias extractivas;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;09  Actividades de apoyo a las industrias extractivas;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;09  Actividades de apoyo a las industrias extractivas;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;09  Actividades de apoyo a las industrias extractivas;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;10  Industria de la alimentación;Total;20
Total Nacional;15 Navarra, Comunidad Foral de;10  Industria de la alimentación;Cero;7
Total Nacional;15 Navarra, Comunidad Foral de;10  Industria de la alimentación;1 a 4;11
Total Nacional;15 Navarra, Comunidad Foral de;10  Industria de la alimentación;5 a 9;2
Total Nacional;15 Navarra, Comunidad Foral de;10  Industria de la alimentación;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;11  Fabricación de bebidas;Total;1
Total Nacional;15 Navarra, Comunidad Foral de;11  Fabricación de bebidas;Cero;1
Total Nacional;15 Navarra, Comunidad Foral de;11  Fabricación de bebidas;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;11  Fabricación de bebidas;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;11  Fabricación de bebidas;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;12  Industria del tabaco;Total;0
Total Nacional;15 Navarra, Comunidad Foral de;12  Industria del tabaco;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;12  Industria del tabaco;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;12  Industria del tabaco;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;12  Industria del tabaco;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;13  Industria textil;Total;2
Total Nacional;15 Navarra, Comunidad Foral de;13  Industria textil;Cero;2
Total Nacional;15 Navarra, Comunidad Foral de;13  Industria textil;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;13  Industria textil;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;13  Industria textil;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;14  Confección de prendas de vestir;Total;6
Total Nacional;15 Navarra, Comunidad Foral de;14  Confección de prendas de vestir;Cero;5
Total Nacional;15 Navarra, Comunidad Foral de;14  Confección de prendas de vestir;1 a 4;1
Total Nacional;15 Navarra, Comunidad Foral de;14  Confección de prendas de vestir;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;14  Confección de prendas de vestir;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;15  Industria del cuero y del calzado;Total;1
Total Nacional;15 Navarra, Comunidad Foral de;15  Industria del cuero y del calzado;Cero;1
Total Nacional;15 Navarra, Comunidad Foral de;15  Industria del cuero y del calzado;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;15  Industria del cuero y del calzado;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;15  Industria del cuero y del calzado;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Total;4
Total Nacional;15 Navarra, Comunidad Foral de;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Cero;4
Total Nacional;15 Navarra, Comunidad Foral de;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;17  Industria del papel;Total;1
Total Nacional;15 Navarra, Comunidad Foral de;17  Industria del papel;Cero;1
Total Nacional;15 Navarra, Comunidad Foral de;17  Industria del papel;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;17  Industria del papel;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;17  Industria del papel;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;18  Artes gráficas y reproducción de soportes grabados;Total;13
Total Nacional;15 Navarra, Comunidad Foral de;18  Artes gráficas y reproducción de soportes grabados;Cero;12
Total Nacional;15 Navarra, Comunidad Foral de;18  Artes gráficas y reproducción de soportes grabados;1 a 4;1
Total Nacional;15 Navarra, Comunidad Foral de;18  Artes gráficas y reproducción de soportes grabados;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;18  Artes gráficas y reproducción de soportes grabados;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;19  Coquerías y refino de petróleo;Total;0
Total Nacional;15 Navarra, Comunidad Foral de;19  Coquerías y refino de petróleo;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;19  Coquerías y refino de petróleo;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;19  Coquerías y refino de petróleo;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;19  Coquerías y refino de petróleo;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;20  Industria química;Total;3
Total Nacional;15 Navarra, Comunidad Foral de;20  Industria química;Cero;2
Total Nacional;15 Navarra, Comunidad Foral de;20  Industria química;1 a 4;1
Total Nacional;15 Navarra, Comunidad Foral de;20  Industria química;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;20  Industria química;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;21  Fabricación de productos farmacéuticos;Total;1
Total Nacional;15 Navarra, Comunidad Foral de;21  Fabricación de productos farmacéuticos;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;21  Fabricación de productos farmacéuticos;1 a 4;1
Total Nacional;15 Navarra, Comunidad Foral de;21  Fabricación de productos farmacéuticos;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;21  Fabricación de productos farmacéuticos;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;22  Fabricación de productos de caucho y plásticos;Total;3
Total Nacional;15 Navarra, Comunidad Foral de;22  Fabricación de productos de caucho y plásticos;Cero;2
Total Nacional;15 Navarra, Comunidad Foral de;22  Fabricación de productos de caucho y plásticos;1 a 4;1
Total Nacional;15 Navarra, Comunidad Foral de;22  Fabricación de productos de caucho y plásticos;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;22  Fabricación de productos de caucho y plásticos;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;23  Fabricación de otros productos minerales no metálicos;Total;1
Total Nacional;15 Navarra, Comunidad Foral de;23  Fabricación de otros productos minerales no metálicos;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;23  Fabricación de otros productos minerales no metálicos;1 a 4;1
Total Nacional;15 Navarra, Comunidad Foral de;23  Fabricación de otros productos minerales no metálicos;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;23  Fabricación de otros productos minerales no metálicos;10 y más;0
Total Nacional;15 Navarra, Comunidad Foral de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Total;0
Total Nacional;15 Navarra, Comunidad Foral de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Cero;0
Total Nacional;15 Navarra, Comunidad Foral de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;1 a 4;0
Total Nacional;15 Navarra, Comunidad Foral de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;5 a 9;0
Total Nacional;15 Navarra, Comunidad Foral de;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;10 y más;0
